Title,Author,Average Rating,Published Year,URL
To Kill a Mockingbird (Paperback),Harper Lee,4.28,1960,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
1984 (Kindle Edition),George Orwell,4.18,1949,https://www.goodreads.com/book/show/40961427-1984
The Great Gatsby (Paperback),F. Scott Fitzgerald,3.92,1925,https://www.goodreads.com/book/show/4671.The_Great_Gatsby
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,1997,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
Animal Farm (Mass Market Paperback),George Orwell,3.94,1945,https://www.goodreads.com/book/show/170448.Animal_Farm
The Catcher in the Rye (Paperback),J.D. Salinger,3.80,1951,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,2008,https://www.goodreads.com/book/show/2767052-the-hunger-games
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.85,2003,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
The Handmaid's Tale (Paperback),Margaret Atwood,4.11,1985,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
The Kite Runner (Paperback),Khaled Hosseini,4.30,2003,https://www.goodreads.com/book/show/77203.The_Kite_Runner
Lord of the Flies (Paperback),William Golding,3.68,1954,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.42,1998,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
Pride and Prejudice (Paperback),Jane Austen,4.26,1813,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.57,1999,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
"The Hobbit, or There and Back Again (Paperback)",J.R.R. Tolkien,4.27,1937,https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
